site,timestamp,url
B,2011-02-03T23:00:54,https://gong2.nso.edu/HA/haf/201102/20110203/20110203230054Bh.fits.fz
B,2011-02-06T16:00:54,https://gong2.nso.edu/HA/haf/201102/20110206/20110206160054Bh.fits.fz
B,2011-02-06T17:00:54,https://gong2.nso.edu/HA/haf/201102/20110206/20110206170054Bh.fits.fz
B,2011-02-06T18:00:54,https://gong2.nso.edu/HA/haf/201102/20110206/20110206180054Bh.fits.fz
B,2011-02-06T19:00:54,https://gong2.nso.edu/HA/haf/201102/20110206/20110206190054Bh.fits.fz
B,2011-02-06T20:00:54,https://gong2.nso.edu/HA/haf/201102/20110206/20110206200054Bh.fits.fz
B,2011-02-06T21:00:54,https://gong2.nso.edu/HA/haf/201102/20110206/20110206210054Bh.fits.fz
B,2011-02-06T22:00:54,https://gong2.nso.edu/HA/haf/201102/20110206/20110206220054Bh.fits.fz
B,2011-02-06T23:00:54,https://gong2.nso.edu/HA/haf/201102/20110206/20110206230054Bh.fits.fz
B,2011-02-09T00:00:54,https://gong2.nso.edu/HA/haf/201102/20110209/20110209000054Bh.fits.fz
B,2011-02-09T16:00:54,https://gong2.nso.edu/HA/haf/201102/20110209/20110209160054Bh.fits.fz
B,2011-02-09T17:00:54,https://gong2.nso.edu/HA/haf/201102/20110209/20110209170054Bh.fits.fz
B,2011-02-09T18:00:54,https://gong2.nso.edu/HA/haf/201102/20110209/20110209180054Bh.fits.fz
B,2011-02-09T19:00:54,https://gong2.nso.edu/HA/haf/201102/20110209/20110209190054Bh.fits.fz
B,2011-02-09T20:00:54,https://gong2.nso.edu/HA/haf/201102/20110209/20110209200054Bh.fits.fz
B,2011-02-09T21:00:54,https://gong2.nso.edu/HA/haf/201102/20110209/20110209210054Bh.fits.fz
B,2011-02-09T22:00:54,https://gong2.nso.edu/HA/haf/201102/20110209/20110209220054Bh.fits.fz
B,2011-02-09T23:00:54,https://gong2.nso.edu/HA/haf/201102/20110209/20110209230054Bh.fits.fz
B,2011-02-12T00:00:54,https://gong2.nso.edu/HA/haf/201102/20110212/20110212000054Bh.fits.fz
B,2011-02-12T16:00:54,https://gong2.nso.edu/HA/haf/201102/20110212/20110212160054Bh.fits.fz
B,2011-02-12T17:00:54,https://gong2.nso.edu/HA/haf/201102/20110212/20110212170054Bh.fits.fz
B,2011-02-12T18:00:54,https://gong2.nso.edu/HA/haf/201102/20110212/20110212180054Bh.fits.fz
B,2011-02-12T19:00:54,https://gong2.nso.edu/HA/haf/201102/20110212/20110212190054Bh.fits.fz
B,2011-02-12T20:00:54,https://gong2.nso.edu/HA/haf/201102/20110212/20110212200054Bh.fits.fz
B,2011-02-12T21:00:54,https://gong2.nso.edu/HA/haf/201102/20110212/20110212210054Bh.fits.fz
B,2011-02-12T22:00:54,https://gong2.nso.edu/HA/haf/201102/20110212/20110212220054Bh.fits.fz
B,2011-02-12T23:00:54,https://gong2.nso.edu/HA/haf/201102/20110212/20110212230054Bh.fits.fz
B,2011-02-15T00:00:54,https://gong2.nso.edu/HA/haf/201102/20110215/20110215000054Bh.fits.fz
B,2011-02-15T17:00:54,https://gong2.nso.edu/HA/haf/201102/20110215/20110215170054Bh.fits.fz
B,2011-02-15T18:04:54,https://gong2.nso.edu/HA/haf/201102/20110215/20110215180454Bh.fits.fz
B,2011-02-15T19:00:54,https://gong2.nso.edu/HA/haf/201102/20110215/20110215190054Bh.fits.fz
B,2011-02-15T20:00:54,https://gong2.nso.edu/HA/haf/201102/20110215/20110215200054Bh.fits.fz
B,2011-02-15T21:00:54,https://gong2.nso.edu/HA/haf/201102/20110215/20110215210054Bh.fits.fz
B,2011-02-15T23:10:54,https://gong2.nso.edu/HA/haf/201102/20110215/20110215231054Bh.fits.fz
B,2011-02-18T00:00:54,https://gong2.nso.edu/HA/haf/201102/20110218/20110218000054Bh.fits.fz
B,2011-02-18T16:12:54,https://gong2.nso.edu/HA/haf/201102/20110218/20110218161254Bh.fits.fz
B,2011-02-18T17:00:54,https://gong2.nso.edu/HA/haf/201102/20110218/20110218170054Bh.fits.fz
B,2011-02-18T18:00:54,https://gong2.nso.edu/HA/haf/201102/20110218/20110218180054Bh.fits.fz
B,2011-02-18T19:00:54,https://gong2.nso.edu/HA/haf/201102/20110218/20110218190054Bh.fits.fz
B,2011-02-18T20:00:54,https://gong2.nso.edu/HA/haf/201102/20110218/20110218200054Bh.fits.fz
B,2011-02-18T21:00:54,https://gong2.nso.edu/HA/haf/201102/20110218/20110218210054Bh.fits.fz
B,2011-02-21T00:00:54,https://gong2.nso.edu/HA/haf/201102/20110221/20110221000054Bh.fits.fz
B,2011-02-21T16:15:54,https://gong2.nso.edu/HA/haf/201102/20110221/20110221161554Bh.fits.fz
B,2011-02-21T18:00:54,https://gong2.nso.edu/HA/haf/201102/20110221/20110221180054Bh.fits.fz
B,2011-02-21T19:03:54,https://gong2.nso.edu/HA/haf/201102/20110221/20110221190354Bh.fits.fz
B,2011-02-21T21:01:54,https://gong2.nso.edu/HA/haf/201102/20110221/20110221210154Bh.fits.fz
B,2011-02-21T22:00:54,https://gong2.nso.edu/HA/haf/201102/20110221/20110221220054Bh.fits.fz
B,2011-02-21T23:00:54,https://gong2.nso.edu/HA/haf/201102/20110221/20110221230054Bh.fits.fz
B,2011-02-24T15:18:54,https://gong2.nso.edu/HA/haf/201102/20110224/20110224151854Bh.fits.fz
B,2011-02-24T16:00:54,https://gong2.nso.edu/HA/haf/201102/20110224/20110224160054Bh.fits.fz
B,2011-02-24T17:00:54,https://gong2.nso.edu/HA/haf/201102/20110224/20110224170054Bh.fits.fz
B,2011-02-24T18:00:54,https://gong2.nso.edu/HA/haf/201102/20110224/20110224180054Bh.fits.fz
B,2011-02-24T19:00:54,https://gong2.nso.edu/HA/haf/201102/20110224/20110224190054Bh.fits.fz
B,2011-02-24T20:00:54,https://gong2.nso.edu/HA/haf/201102/20110224/20110224200054Bh.fits.fz
B,2011-02-24T21:00:54,https://gong2.nso.edu/HA/haf/201102/20110224/20110224210054Bh.fits.fz
B,2011-02-24T22:00:54,https://gong2.nso.edu/HA/haf/201102/20110224/20110224220054Bh.fits.fz
B,2011-02-24T23:00:54,https://gong2.nso.edu/HA/haf/201102/20110224/20110224230054Bh.fits.fz
B,2011-03-02T00:00:54,https://gong2.nso.edu/HA/haf/201103/20110302/20110302000054Bh.fits.fz
B,2011-03-02T16:00:54,https://gong2.nso.edu/HA/haf/201103/20110302/20110302160054Bh.fits.fz
B,2011-03-02T17:00:54,https://gong2.nso.edu/HA/haf/201103/20110302/20110302170054Bh.fits.fz
B,2011-03-02T18:00:54,https://gong2.nso.edu/HA/haf/201103/20110302/20110302180054Bh.fits.fz
B,2011-03-02T19:00:54,https://gong2.nso.edu/HA/haf/201103/20110302/20110302190054Bh.fits.fz
B,2011-03-02T20:01:54,https://gong2.nso.edu/HA/haf/201103/20110302/20110302200154Bh.fits.fz
B,2011-03-02T22:08:54,https://gong2.nso.edu/HA/haf/201103/20110302/20110302220854Bh.fits.fz
B,2011-03-02T23:14:54,https://gong2.nso.edu/HA/haf/201103/20110302/20110302231454Bh.fits.fz
B,2011-03-05T00:00:54,https://gong2.nso.edu/HA/haf/201103/20110305/20110305000054Bh.fits.fz
B,2011-03-05T16:05:54,https://gong2.nso.edu/HA/haf/201103/20110305/20110305160554Bh.fits.fz
B,2011-03-05T17:01:54,https://gong2.nso.edu/HA/haf/201103/20110305/20110305170154Bh.fits.fz
B,2011-03-05T18:00:54,https://gong2.nso.edu/HA/haf/201103/20110305/20110305180054Bh.fits.fz
B,2011-03-05T19:00:54,https://gong2.nso.edu/HA/haf/201103/20110305/20110305190054Bh.fits.fz
B,2011-03-05T20:00:54,https://gong2.nso.edu/HA/haf/201103/20110305/20110305200054Bh.fits.fz
B,2011-03-05T21:00:54,https://gong2.nso.edu/HA/haf/201103/20110305/20110305210054Bh.fits.fz
B,2011-03-05T22:00:54,https://gong2.nso.edu/HA/haf/201103/20110305/20110305220054Bh.fits.fz
B,2011-03-05T23:00:54,https://gong2.nso.edu/HA/haf/201103/20110305/20110305230054Bh.fits.fz
B,2011-03-08T00:00:54,https://gong2.nso.edu/HA/haf/201103/20110308/20110308000054Bh.fits.fz
B,2011-03-08T15:01:54,https://gong2.nso.edu/HA/haf/201103/20110308/20110308150154Bh.fits.fz
B,2011-03-08T16:00:54,https://gong2.nso.edu/HA/haf/201103/20110308/20110308160054Bh.fits.fz
B,2011-03-08T17:00:54,https://gong2.nso.edu/HA/haf/201103/20110308/20110308170054Bh.fits.fz
B,2011-03-08T18:00:54,https://gong2.nso.edu/HA/haf/201103/20110308/20110308180054Bh.fits.fz
B,2011-03-08T19:00:54,https://gong2.nso.edu/HA/haf/201103/20110308/20110308190054Bh.fits.fz
B,2011-03-08T20:00:54,https://gong2.nso.edu/HA/haf/201103/20110308/20110308200054Bh.fits.fz
B,2011-03-08T21:00:54,https://gong2.nso.edu/HA/haf/201103/20110308/20110308210054Bh.fits.fz
B,2011-03-08T22:00:54,https://gong2.nso.edu/HA/haf/201103/20110308/20110308220054Bh.fits.fz
B,2011-03-08T23:00:54,https://gong2.nso.edu/HA/haf/201103/20110308/20110308230054Bh.fits.fz
B,2011-03-11T00:00:54,https://gong2.nso.edu/HA/haf/201103/20110311/20110311000054Bh.fits.fz
B,2011-03-11T15:00:54,https://gong2.nso.edu/HA/haf/201103/20110311/20110311150054Bh.fits.fz
B,2011-03-11T16:00:54,https://gong2.nso.edu/HA/haf/201103/20110311/20110311160054Bh.fits.fz
B,2011-03-11T17:00:54,https://gong2.nso.edu/HA/haf/201103/20110311/20110311170054Bh.fits.fz
B,2011-03-11T18:00:54,https://gong2.nso.edu/HA/haf/201103/20110311/20110311180054Bh.fits.fz
